"Idr�tsorganisationernes medlemmer efter alder, k�n, omr�de, aktivitet"
"og tid"

" ";" ";" ";" ";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"0-12 �r"
" ";"M�nd"
" ";" ";" ";"Basketball";130;140;110;80;80;80;90;120;90
" ";" ";" ";"Bordtennis";20;20;10;10;10;10;0;0;10
" ";" ";" ";"Cykling";170;200;240;190;160;90;190;160;140
" ";" ";" ";"Dans";840;820;690;940;550;650;610;570;700
" ";" ";" ";"Esport";..;..;..;0;10;0;0;0;10
" ";" ";" ";"Fitness";2670;3040;3130;3350;2920;3280;3220;3200;3210
" ";" ";" ";"Fodbold";830;1220;980;910;990;980;880;990;960
" ";" ";" ";"Golf";90;100;30;220;100;30;20;30;50
" ";" ";" ";"Gymnastik";790;900;860;870;810;690;840;730;880
" ";" ";" ";"H�ndbold";320;310;230;210;250;270;200;180;240
" ";" ";" ";"Ishockey";0;0;0;0;10;10;10;10;10
" ";" ";" ";"Kano/Kajak";40;110;70;110;150;140;110;140;190
" ";" ";" ";"L�b";1100;1590;1450;1400;1500;1860;1550;1450;1440
" ";" ";" ";"Padel";..;..;..;..;..;..;..;0;10
" ";" ";" ";"Ridning";30;0;10;0;0;0;0;0;0
" ";" ";" ";"Roning";70;70;50;60;50;70;70;80;80
" ";" ";" ";"Sejlsport";50;60;40;70;120;90;70;80;80
" ";" ";" ";"Skydning";60;60;80;50;70;70;60;50;60
" ";" ";" ";"Styrkel�ft";10;10;20;10;10;10;10;10;10
" ";" ";" ";"Sv�mning";520;540;450;510;480;570;460;490;520
" ";" ";" ";"Tennis";170;170;130;160;150;170;180;260;210
" ";" ";" ";"Volleyball";220;220;220;230;210;230;280;250;380
" ";" ";" ";"V�gtl�ftning";40;310;70;40;40;40;40;30;20
"25-59 �r"
" ";"M�nd"
" ";" ";"Hele landet"
" ";" ";" ";"Atletik";7160;4410;2240;1850;1600;1540;1400;1740;1370
" ";" ";" ";"Amerikansk fodbold";770;860;900;890;810;770;770;800;740
" ";" ";" ";"Badminton";45430;41880;41400;40520;39480;38360;36650;34900;34680
" ";" ";" ";"Basketball";2350;2300;2570;2450;2920;2980;3110;3110;3370
" ";" ";" ";"Bordtennis";3650;3700;3570;3520;3580;3640;3110;2940;3080
" ";" ";" ";"Cykling";28310;30440;30550;29870;28960;27630;26640;25700;23480
" ";" ";" ";"Dans";3540;3260;3190;3210;2880;2910;2300;2240;2400
" ";" ";" ";"Esport";..;..;..;270;680;1060;1240;1440;1500
" ";" ";" ";"Fitness";48190;51380;58330;57310;60960;61850;57370;52310;56170
" ";" ";" ";"Fodbold";87800;87640;85240;84740;89130;88120;83960;87830;87210
" ";" ";" ";"Golf";57460;55490;57200;57090;54920;55850;57390;59740;59860
" ";" ";" ";"Gymnastik";17330;16880;12390;11820;11850;11030;9720;9530;10020
" ";" ";" ";"H�ndbold";11440;11280;11060;11080;11290;11140;11120;10250;10920
" ";" ";" ";"Ishockey";1330;1390;1420;1620;1680;1930;2170;2230;2060
" ";" ";" ";"Kano/Kajak";10650;10550;10440;10300;10320;10340;9960;10150;9480
" ";" ";" ";"L�b";25340;26480;27080;25710;24270;28930;22990;21890;21020
" ";" ";" ";"Padel";..;..;..;..;..;..;..;5750;9800
" ";" ";" ";"Ridning";3300;3110;3010;2950;2860;2580;2390;2220;2060
" ";" ";" ";"Roning";3580;3410;3290;3200;3140;3040;2780;2760;2800
" ";" ";" ";"Sejlsport";23990;22710;22390;21840;20770;21550;22100;22500;22730
" ";" ";" ";"Skydning";35350;31300;29130;29420;29360;28720;27060;27150;26410
" ";" ";" ";"Styrkel�ft";2050;2770;2600;2490;2960;2910;2790;2680;3050
" ";" ";" ";"Sv�mning";15810;17320;16910;20510;19940;21840;21110;21820;25190
" ";" ";" ";"Tennis";20810;19720;19230;19170;19650;20340;25250;23740;22630
" ";" ";" ";"Volleyball";5640;5400;5400;5190;5390;5400;5160;5060;5140
" ";" ";" ";"V�gtl�ftning";3790;2410;2970;2740;3520;3660;3320;3350;3520
" ";" ";"K�benhavn"
" ";" ";" ";"Atletik";2540;1260;460;260;150;120;100;220;130
" ";" ";" ";"Amerikansk fodbold";180;190;200;190;190;150;140;130;120
" ";" ";" ";"Badminton";3940;3890;3800;3510;3310;2930;2870;2610;2830
" ";" ";" ";"Basketball";560;530;670;600;690;700;830;910;970
" ";" ";" ";"Bordtennis";970;930;860;830;800;670;560;570;580
" ";" ";" ";"Cykling";4190;4420;4380;3900;3800;3150;3050;3030;2620
" ";" ";" ";"Dans";580;590;830;680;580;810;590;550;730
" ";" ";" ";"Esport";..;..;..;20;70;150;150;110;260
" ";" ";" ";"Fitness";9650;9830;13510;11220;11040;11490;10690;10090;7710
